# Engine name: FYDPish lite
# Sat Apr 17 00:41:15 2021
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     3.0000    625.0000      0.0000      1.0000      0.0000   2535.6211     22.6111      1.2364      1.2357   1470.9712    226.1729    246.1926      1.5078      1.6413      1.0000 
     3.0000    650.0000      0.0000      1.0000      0.0000   2535.8794     22.6116      1.2366      1.2359   1470.9718    226.9545    246.7445      1.5131      1.6450      1.0000 
     3.0000    675.0000      0.0000      1.0000      0.0000   2536.1238     22.6121      1.2368      1.2360   1470.9724    227.6982    247.2706      1.5180      1.6485      1.0000 
     3.0000    700.0000      0.0000      1.0000      0.0000   2536.3554     22.6126      1.2370      1.2362   1470.9729    228.4070    247.7731      1.5227      1.6518      1.0000 
     3.0000    725.0000      0.0000      1.0000      0.0000   2536.5754     22.6130      1.2371      1.2364   1470.9733    229.0839    248.2538      1.5273      1.6551      1.0000 
     3.0000    750.0000      0.0000      1.0000      0.0000   2536.7848     22.6134      1.2373      1.2365   1470.9737    229.7313    248.7144      1.5316      1.6581      1.0000 
     3.2000    200.0000      0.0000      1.0000      0.0000   2633.4190     23.0976      1.2188      1.2168   1489.8915    201.3579    230.7557      1.3254      1.5189      1.0000 
     3.2000    225.0000      0.0000      1.0000      0.0000   2635.3606     23.1014      1.2199      1.2179   1489.9295    204.7612    232.9796      1.3477      1.5335      1.0000 
     3.2000    250.0000      0.0000      1.0000      0.0000   2637.0257     23.1047      1.2208      1.2189   1489.9606    207.6904    234.9147      1.3670      1.5462      1.0000 
     3.2000    275.0000      0.0000      1.0000      0.0000   2638.4752     23.1075      1.2216      1.2198   1489.9865    210.2516    236.6221      1.3838      1.5574      1.0000 
     3.2000    300.0000      0.0000      1.0000      0.0000   2639.7527     23.1101      1.2223      1.2205   1490.0084    212.5198    238.1456      1.3987      1.5674      1.0000 
     3.2000    325.0000      0.0000      1.0000      0.0000   2640.8901     23.1123      1.2229      1.2212   1490.0272    214.5500    239.5182      1.4121      1.5764      1.0000 
     3.2000    350.0000      0.0000      1.0000      0.0000   2641.9117     23.1143      1.2235      1.2219   1490.0436    216.3832    240.7647      1.4241      1.5846      1.0000 
     3.2000    375.0000      0.0000      1.0000      0.0000   2642.8361     23.1161      1.2240      1.2224   1490.0580    218.0513    241.9047      1.4351      1.5921      1.0000 
     3.2000    400.0000      0.0000      1.0000      0.0000   2643.6781     23.1178      1.2245      1.2229   1490.0707    219.5789    242.9534      1.4451      1.5990      1.0000 
     3.2000    425.0000      0.0000      1.0000      0.0000   2644.4494     23.1193      1.2249      1.2234   1490.0820    220.9860    243.9232      1.4544      1.6053      1.0000 
     3.2000    450.0000      0.0000      1.0000      0.0000   2645.1595     23.1207      1.2253      1.2239   1490.0922    222.2886    244.8243      1.4629      1.6112      1.0000 
     3.2000    475.0000      0.0000      1.0000      0.0000   2645.8162     23.1220      1.2257      1.2243   1490.1014    223.4997    245.6649      1.4709      1.6168      1.0000 
     3.2000    500.0000      0.0000      1.0000      0.0000   2646.4259     23.1232      1.2260      1.2247   1490.1097    224.6303    246.4521      1.4783      1.6219      1.0000 
     3.2000    525.0000      0.0000      1.0000      0.0000   2646.9941     23.1244      1.2264      1.2250   1490.1173    225.6894    247.1916      1.4853      1.6268      1.0000 
     3.2000    550.0000      0.0000      1.0000      0.0000   2647.5254     23.1254      1.2267      1.2254   1490.1243    226.6849    247.8885      1.4918      1.6314      1.0000 
     3.2000    575.0000      0.0000      1.0000      0.0000   2648.0235     23.1264      1.2270      1.2257   1490.1306    227.6231    248.5470      1.4980      1.6357      1.0000 
